@relation NoBuoyStrategy

@attribute ww3Height numeric
@attribute ww3Period numeric
@attribute ww3Direction numeric
@attribute visualObservation numeric

@data
3.19,13.879999,305.5,3.048
3.33,12.03,313.779968,6.096
3.38,12.01,313.599976,4.8768
3.03,12.5,308.940002,9.144
3.13,12.54,319.309998,5.4864
2.71,12.08,317.600006,5.4864
2.48,14.71,306.309998,4.2672
2.72,12.66,308.269989,4.8768
2.71,12.809999,307.22998,4.8768
2.74,13.09,302.970001,3.6576
2.68,12.9,302.349976,2.4384
3.65,15.799999,309.509979,12.192
4.05,15.1,307.470001,9.144
3.45,14.08,309.779999,4.2672
2.53,12.049999,319.429993,4.8768
2.85,14.36,330.339996,4.8768
4.38,16.33,322,15.24
4.66,15.609999,322.309998,9.144
3.61,13.459999,315.829987,7.3152
3.24,12.34,317.110016,4.2672
2.57,11.8,317.929993,3.6576
2.45,10.93,309.540009,3.048
2.89,14.329999,325.440002,3.048
2.64,12.25,315.359985,1.8288
2.46,9.29,101.469994,4.8768
3.07,14.01,312.559998,5.4864
3.02,13.589999,313.949982,3.048
2.59,11.9,314.690002,3.048
2.5,10.879999,334.609985,3.048
2.37,11.22,320.110016,1.2192
2.06,12.33,312.679993,9.144
2.99,14.01,318.72998,7.3152
2.94,13.62,316.380005,3.6576
2.35,12.23,306.949982,1.8288
2.55,8.63,13.429999,3.6576
2.7,9.48,5.09,3.6576
3.13,10.02,16.17,4.2672
3.03,9.99,19.709999,4.8768
2.78,15.95,309.48999,5.4864
2.61,13.51,308.130005,2.4384
2.7,9.32,82.049995,1.2192
2.7,9.32,80.929993,1.8288
2.62,9.39,75.779999,1.2192
2.46,9.38,78.449997,2.4384
3.15,7.75,65.989998,3.048
3.35,8.47,67.770004,3.048
3.32,8.54,67.300003,1.8288
2.75,9.02,81.090004,1.8288
2.14,9.36,90.25,1.8288
1.83,9.07,79.900002,1.8288
1.7,13.349999,325.830017,9.144
2.74,14.72,310.279999,7.3152
2.74,14.61,310.149994,4.2672
2.18,13.28,309.609985,3.048
3.16,14.17,319.23999,7.3152
3.12,13.690001,316.429993,5.4864
2.48,12.48,311.23999,9.144
3,14.529999,310.819977,7.3152
2.83,14.25,311.790009,5.4864
2.71,14.35,313.959991,4.8768
2.42,12.37,313.009979,3.6576
2.66,13.13,299.939972,3.6576
2.66,13.12,299.629974,2.4384
2.53,8.530001,26.629999,3.048
2.6,15.7,315.149994,7.3152
2.7,14.76,311.809998,6.096
2.55,13.36,311.149994,3.6576
2.33,12.26,313.309998,7.3152
3.57,15.77,303.639984,9.144
3.4,15.129999,302.47998,6.096
2.9,14.85,306.209991,6.096
3.04,14.71,308.970001,4.8768
2.83,13.36,305.440002,2.4384
2.48,12.5,294.470001,2.4384
2.29,12.45,299.849976,4.2672
2.97,15.09,299.809998,8.5344
3.04,14.73,297.97998,4.8768
2.56,13.23,296.649994,2.4384
2.59,9.85,354.519989,3.6576
2.69,9.969999,1.37,2.4384
2.22,10.82,341.890015,4.8768
2.73,11.49,354.819977,6.096
2.71,11.43,356.269989,3.048
1.91,10.16,0.13,2.4384
1.63,10.74,1.63,2.4384
1.63,10.37,358.720001,2.4384
1.89,10.1,312.569977,1.8288
2.21,10.34,312.269989,1.8288
2.24,10.309999,320.089996,1.8288
2.03,9.73,326.130005,1.2192
1.73,8.61,75.359993,1.2192
1.52,8.25,75.440002,1.8288
1.73,7.44,75.43,6.096
2.25,14.75,308.209991,4.2672
2.37,8.36,71.610001,2.4384
2.37,8.719999,70.619995,1.8288
2.37,8.77,70.359993,1.8288
2.39,8.709999,75.150002,1.8288
2.56,8.679999,75.519997,1.8288
2.52,8.64,71.559998,1.8288
2.75,9.17,75.389999,1.8288
2.73,9.09,78.739998,1.8288
2.73,9.09,79.169998,1.8288
2.74,9.25,82.32,1.2192
2.63,9.309999,85.839996,1.2192
2.27,9.3,85.349998,1.2192
1.77,8.8,82.439995,1.8288
1.87,11.84,21.689999,2.4384
2.08,7.6,70.790001,1.8288
2.1,7.59,72.970001,1.8288
1.94,7.9,80.639999,1.2192
1.8,8.12,95.439995,1.8288
1.87,8.3,87.269997,1.2192
1.85,8.54,84.859993,1.8288
1.83,8.61,84.399994,1.8288
1.93,11.25,336.690002,2.4384
2.06,6.68,68.889999,3.6576
2.28,7.06,70.779999,3.048
2.17,7.79,76.970001,1.8288
2.33,8.48,87.849998,1.2192
2.39,8.9,93.089996,3.048
2.38,8.9,92.919998,1.8288
