@relation MonthPeriodStrategy

@attribute ww3Height numeric
@attribute ww3Period numeric
@attribute ww3Direction numeric
@attribute visualObservation numeric

@data
2.71,14.35,313.959991,4.8768
2.42,12.37,313.009979,3.6576
2.66,13.13,299.939972,3.6576
2.66,13.12,299.629974,2.4384
2.53,8.530001,26.629999,3.048
2.6,15.7,315.149994,7.3152
2.7,14.76,311.809998,6.096
2.55,13.36,311.149994,3.6576
2.33,12.26,313.309998,7.3152
3.57,15.77,303.639984,9.144
3.4,15.129999,302.47998,6.096
2.9,14.85,306.209991,6.096
3.04,14.71,308.970001,4.8768
2.83,13.36,305.440002,2.4384
2.48,12.5,294.470001,2.4384
2.29,12.45,299.849976,4.2672
2.97,15.09,299.809998,8.5344
3.04,14.73,297.97998,4.8768
2.56,13.23,296.649994,2.4384
2.59,9.85,354.519989,3.6576
2.69,9.969999,1.37,2.4384
2.22,10.82,341.890015,4.8768
2.73,11.49,354.819977,6.096
2.71,11.43,356.269989,3.048
1.91,10.16,0.13,2.4384
1.63,10.74,1.63,2.4384
1.63,10.37,358.720001,2.4384
1.89,10.1,312.569977,1.8288
2.21,10.34,312.269989,1.8288
2.24,10.309999,320.089996,1.8288
2.03,9.73,326.130005,1.2192
1.73,8.61,75.359993,1.2192
1.52,8.25,75.440002,1.8288
1.73,7.44,75.43,6.096
2.25,14.75,308.209991,4.2672
2.37,8.36,71.610001,2.4384
2.37,8.719999,70.619995,1.8288
2.37,8.77,70.359993,1.8288
2.39,8.709999,75.150002,1.8288
2.56,8.679999,75.519997,1.8288
2.52,8.64,71.559998,1.8288
2.75,9.17,75.389999,1.8288
2.73,9.09,78.739998,1.8288
2.73,9.09,79.169998,1.8288
2.74,9.25,82.32,1.2192
2.63,9.309999,85.839996,1.2192
2.27,9.3,85.349998,1.2192
1.77,8.8,82.439995,1.8288
1.87,11.84,21.689999,2.4384
2.08,7.6,70.790001,1.8288
2.1,7.59,72.970001,1.8288
1.94,7.9,80.639999,1.2192
1.8,8.12,95.439995,1.8288
1.87,8.3,87.269997,1.2192
1.85,8.54,84.859993,1.8288
1.83,8.61,84.399994,1.8288
1.93,11.25,336.690002,2.4384
2.06,6.68,68.889999,3.6576
2.28,7.06,70.779999,3.048
2.17,7.79,76.970001,1.8288
2.33,8.48,87.849998,1.2192
2.39,8.9,93.089996,3.048
2.38,8.9,92.919998,1.8288
2.28,8.67,85.389999,0.6096
2.12,8.79,83.720001,1.8288
1.98,8.67,81.039993,1.2192
1.72,8.48,76.349998,0.6096
1.65,8.86,63.849998,0.6096
1.41,8.49,63.719997,0.6096
1.53,6.46,61.110001,0.6096
1.51,6.74,46.91,0.6096
1.62,6.44,67.609993,1.8288
1.7,11.07,314.159973,1.2192
1.66,9.99,319.910004,0.6096
1.52,6.16,74.059998,0.6096
1.55,16.209999,179.279999,0.6096
1.6,15.32,180.860001,0.6096
1.52,12.36,282,1.8288
1.55,6.94,78.009995,1.2192
1.54,6.99,78.900002,0.6096
1.29,14.83,180.580002,0.6096
1.14,7.57,100.400002,0.6096
1.12,7.71,35.859997,1.2192
1.16,7.78,16.040001,0.6096
1.2,7.099999,23.51,0.6096
1.26,7.11,29.919998,0.6096
1.24,10.719999,193.589996,0.6096
1.32,6.03,68.810005,0.6096
1.34,6.11,69.059998,0.6096
1.23,6.46,67.330002,0.6096
1.13,6.79,61.329998,0.6096
1.14,6.1,87.579994,0.6096
1.21,6.18,85.939995,0.6096
1.27,12.150001,254.049988,1.8288
1.71,7.01,62.949997,1.2192
1.74,7.03,63.43,0.6096
1.59,7.31,62.419998,0.6096
1.38,7.51,58.379997,0.6096
1.28,6.599999,67.650002,0.6096
1.47,6.2,75.499992,0.6096
1.68,6.36,75.359993,0.6096
1.73,6.26,75.339996,0.6096
1.69,6.83,73.859993,0.6096
1.63,6.89,71.120003,0.6096
1.61,7.52,76.869995,0.6096
1.56,7.57,78.43,0.6096
1.24,7.5,87.650002,0.6096
1.24,7.49,85.849998,0.6096
1.17,7.46,87.230003,0.6096
1.33,6.07,70.660004,0.6096
1.32,5.83,71.559998,0.6096
1.28,5.67,61.369999,0.6096
1.57,6.27,65.529999,1.2192
1.72,6.89,68.730003,1.2192
1.7,6.93,68.739998,1.2192
1.77,8.049999,76.449997,1.2192
1.78,7.62,79.479996,1.2192
1.76,7.54,81.039993,0.6096
1.51,7.48,88.589996,0.6096
1.41,7.32,44.559998,0.6096
1.49,7.17,42.049999,1.2192
1.44,7.08,44.420002,1.2192
1.25,8.18,74.650002,1.2192
1.33,8.309999,103.689995,0.6096
1.39,8.53,104.169991,0.6096
1.35,8.53,102.409996,0.6096
1.4,8.43,93.349998,0.6096
1.66,5.58,76.899994,0.6096
1.67,5.96,76.269997,0.6096
1.39,6.96,75.760002,1.2192
1.73,7.48,69.25,1.2192
2.09,16.25,181.419998,0.6096
2.13,14.389999,181.630005,0.6096
2.07,13.709999,180.179993,0.6096
1.82,12.959999,179.73999,0.6096
1.5,12.07,177.970001,0.6096
1.5,7.469999,93.699997,0.6096
1.78,7.66,87.989998,0.6096
2.05,15.809999,193.509995,0.6096
2.11,14.639999,193.720001,0.6096
2.07,14.44,193.819992,0.6096
1.86,7.05,70.900002,0.6096
1.93,7.34,67.999992,0.6096
1.87,7.5,74.57,0.6096
1.57,7.48,85.379997,0.6096
1.43,6.94,73.809998,0.6096
1.49,6.98,74.619995,0.6096
1.5,13.379999,194.889999,0.6096
1.49,12.919999,204.100006,0.6096
1.47,5.33,71.349998,0.6096
1.98,7.73,65.559998,1.2192
2.34,8.389999,51.359997,1.8288
2.39,8.42,50.919998,1.8288
2.29,8.4,54.610001,2.4384
2.13,7.99,57,1.2192
2.12,7.86,58.279999,1.2192
1.91,7.21,62.649998,0.6096
1.85,15.44,197.099991,0.6096
1.83,15.309999,196.850006,0.6096
1.68,13.91,196.849991,0.6096
1.71,8.32,105.339996,0.6096
1.82,8.21,102.619995,0.6096
2.09,8.24,99.769997,0.6096
2.05,8.25,98.999992,0.6096
1.95,8.059999,80.759995,0.6096
2.06,7.58,59.959999,0.6096
1.99,7.46,61.130001,0.6096
1.63,6.91,63.839996,0.6096
1.57,7.07,65.470001,0.6096
1.82,7.54,81.619995,0.6096
2.01,8.049999,95.029999,0.6096
2.01,8.059999,94.230003,0.6096
1.75,8.08,94.059998,0.6096
1.75,7.61,77.110001,0.6096
1.65,7.99,84.040001,1.2192
1.53,7.68,86.900002,1.8288
1.51,12.41,343.049988,1.8288
1.46,11.09,349.23999,1.8288
1.39,9.3,31.299999,1.8288
1.27,8.47,39.649998,1.8288
1.18,7.01,70.479996,1.2192
1.56,7.83,82.349998,0.6096
1.67,7.43,81.989998,0.6096
1.78,7.57,80.939995,1.2192
1.76,7.67,80.510002,1.8288
1.48,7.78,74.040001,1.8288
