@relation NoBuoyStrategy

@attribute ww3Height numeric
@attribute ww3Period numeric
@attribute ww3Direction numeric
@attribute visualObservation numeric

@data
4.96,13.299999,316.529999,6.096
4.68,13.19,315.549988,3.6576
3.07,11.95,314,3.048
4.42,13.67,324.649994,6.096
4.07,13.52,320.72998,2.4384
4.58,15.389999,320.089996,7.3152
6.42,16.209999,313.769989,9.144
5.97,15.91,311.699982,4.2672
4.5,17.299999,316.859985,6.096
5.05,16.049999,313.289978,5.4864
4.15,14.16,306.049988,2.4384
3.31,12.48,315.279999,1.2192
2.34,11.5,316.119995,0.6096
2.15,13.18,304.629974,1.2192
3.26,15.29,309.350006,4.8768
3.31,14.91,308.869995,3.048
3.58,13.8,300.549988,2.4384
4.31,14.089999,297.48999,1.8288
4.72,11.17,62.43,1.2192
4.68,11.19,63.119995,0.6096
4.25,11.15,61.189999,0.6096
3.57,10.42,61.879997,0.6096
2.74,10,61.969997,0.6096
2.32,9.889999,58.729996,0.6096
2.1,9.49,72.139999,1.2192
2.01,9.23,86.660004,0.6096
2.64,9.889999,46.489998,0.6096
2.88,9.78,39.969997,0.6096
2.67,9.86,37.759998,0.6096
2.83,9.13,80.199997,0.6096
2.64,9.03,82.43,1.8288
2.77,9.45,89.660004,2.4384
2.77,9.46,89.919998,1.8288
2.46,13.559999,303.279999,1.2192
2.36,13.23,309.149994,1.8288
2.91,11.78,323.73999,3.048
3.17,13.65,330.290009,3.6576
3.09,13.22,331.779968,1.8288
2.22,11.21,327.009979,1.8288
3.63,12.219999,352.549988,3.6576
3.86,12.61,357.940002,2.4384
3.23,11.85,2.73,1.8288
2.73,8.93,44.18,3.6576
2.82,13.9,309.070007,2.4384
2.66,9.28,53.23,2.4384
2.7,13.98,317.640015,3.048
2.7,13.59,317.230011,1.2192
2.04,11.559999,310.100006,0.6096
1.98,7.53,73.939995,0.6096
1.96,8.83,103.049995,0.6096
2.63,14.43,304.549988,3.048
3.36,13.48,307.980011,3.6576
3.13,12.619999,310.200012,1.8288
2.7,16.1,308.369995,1.8288
3.24,13.61,308.100006,3.6576
3.27,12.63,306.509979,2.4384
3.25,12.45,305.919983,1.2192
3.06,8.35,64.029999,1.2192
2.38,13.429999,315.049988,1.2192
2.24,13.01,314.399994,1.2192
1.81,11.04,311.350006,1.8288
2.52,9.08,341.880005,1.2192
2.52,9.12,343.100006,1.2192
2.46,9.57,9.4,0.6096
2.4,9.53,13.09,0.6096
2.06,7.87,59.739998,0.6096
1.75,7.69,72.010002,1.2192
1.88,11.78,309.299988,1.2192
2.02,9.96,329.369995,1.2192
1.99,12.539999,338.190002,1.8288
2.76,13.74,322.459991,3.048
