@relation 2203

@attribute ww3PeriodPrevLect2 numeric
@attribute ww3PeriodPrevLect1 numeric
@attribute ww3Direction numeric
@attribute ww3Period numeric
@attribute ww3DirectPrevLect3 numeric
@attribute ww3HeightPrevLect3 numeric
@attribute ww3DirectPrevLect2 numeric
@attribute ww3Height numeric
@attribute ww3HeightPrevLect2 numeric
@attribute ww3DirectPrevLect1 numeric
@attribute ww3HeightPrevLect1 numeric
@attribute ww3PeriodPrevLect3 numeric
@attribute visualObservation numeric

@data
14.719999,14.53,312.589996,14.389999,314.129974,3.04,313.820007,3.2,3.14,313.200012,3.19,15.02,1.2192
13.089999,13.129999,313.100006,13.43,310.97998,2.73,311.26001,3.11,2.77,311.980011,2.89,13.13,1.2192
15.26,15.409999,316.599976,15.419999,317.140015,4.31,317.019989,4.56,4.49,316.839996,4.57,15.15,1.2192
15.419999,15.36,316.01001,15.27,316.839996,4.57,316.599976,4.32,4.56,316.339996,4.47,15.409999,2.4384
13.9,15.15,315.580017,15.11,318.399994,4,318.76001,6.39,5.04,318.330017,5.96,13.29,2.4384
15.15,15.11,313.480011,15.04,318.76001,5.04,318.330017,6.48,5.96,315.580017,6.39,13.9,3.048
14.219999,13.889999,309.649994,13.7,307.119995,5.85,306.420013,5.32,5.66,310.169983,5.48,14.429999,1.8288
13.009999,12.77,317.570007,12.48,311.01001,4.39,311.779999,3.83,4.2,317.389984,4.01,13.16,0.6096
11.48,17.24,312.110016,16.969999,319.950012,2.17,318.679993,3.62,2.54,311.269989,3.08,10.85,1.2192
16.34,16.25,309.049988,16.15,308.369995,4.7,308.660004,4.62,4.73,308.920013,4.7,16.380001,2.4384
16.15,16.029999,308.970001,15.889999,308.920013,4.7,309.049988,4.38,4.62,309.059998,4.5,16.25,1.8288
14.539999,14.41,308.769989,14.21,307.940002,3.99,308.079987,3.87,3.97,308.380005,3.94,14.65,1.2192
13,12.66,312.220001,12.369999,309.410004,3.39,309.839996,3.15,3.31,311.889984,3.23,13.129999,1.2192
