@relation 2206

@attribute ww3PeriodPrevLect2 numeric
@attribute ww3PeriodPrevLect1 numeric
@attribute ww3Direction numeric
@attribute ww3Period numeric
@attribute ww3DirectPrevLect3 numeric
@attribute ww3HeightPrevLect3 numeric
@attribute ww3DirectPrevLect2 numeric
@attribute ww3Height numeric
@attribute ww3HeightPrevLect2 numeric
@attribute ww3DirectPrevLect1 numeric
@attribute ww3HeightPrevLect1 numeric
@attribute ww3PeriodPrevLect3 numeric
@attribute visualObservation numeric

@data
14.549999,14.41,312.230011,14.24,313.47998,3.6,313,3.64,3.66,312.529999,3.67,14.77,1.2192
13.139999,13.309999,313.799988,13.889999,310.519989,3.12,311.309998,3.72,3.21,312.48999,3.41,13.12,1.8288
15.369999,15.44,315.749969,15.429999,316.290009,5.01,316.099976,5.07,5.13,315.950012,5.15,15.24,3.048
15.429999,15.37,314.98999,15.259999,315.950012,5.15,315.749969,4.73,5.07,315.399994,4.93,15.44,1.8288
14.98,15.08,311.809998,15.049999,317.01001,5.53,316.769989,7.49,6.66,313.899994,7.29,13.57,3.048
15.08,15.049999,310.049988,14.99,316.769989,6.66,313.899994,7.48,7.29,311.809998,7.49,14.98,3.048
14.07,13.789999,308.059998,13.65,304.819977,6.48,308.809998,5.85,6.25,308.419983,6.04,14.339999,3.048
12.929999,12.62,316.829987,12.37,310.600006,4.73,311.350006,4.09,4.51,316.629974,4.29,13.099999,1.8288
13.619999,16.65,310.140015,16.49,317.890015,2.6,318.839996,4.35,3.17,312.169983,3.79,11.440001,1.2192
16.33,16.349998,307.529999,16.389999,310.140015,4.35,308.559998,5.23,4.78,307.73999,5.06,16.49,1.8288
16.110001,15.98,308.149994,15.82,308.269989,5.21,308.320007,4.83,5.08,308.269989,4.95,16.219999,1.2192
14.48,14.32,308.679993,13.95,307.51001,4.49,307.75,4.27,4.44,308.089996,4.37,14.589999,1.2192
12.83,12.449999,312.190002,12.27,309.119995,3.72,311.419983,3.48,3.63,311.73999,3.56,13.039999,1.2192
11.57,11.33,321.019989,11.2,317.140015,3.12,320.209991,2.77,3.03,320.630005,2.91,11.809999,0.6096
10.15,10.19,328.350006,12.21,316.119995,2.34,315.850006,3.28,2.58,315.839996,2.91,10.179999,0.6096
11.73,12.309999,315.380005,12.5,317.73999,4.76,319.790009,6.19,5.52,317.119995,6.02,10.87,2.4384
12.5,12.599999,313.110016,12.65,317.119995,6.02,315.380005,5.91,6.19,314.190002,6.12,12.309999,1.2192
12.88,12.73,313.48999,12.55,312.639984,4.81,313.380005,3.99,4.56,313.019989,4.29,12.92,0.6096
13.67,13.860001,308.949982,14.23,314.610016,4.34,312.559967,4.63,4.43,311.040009,4.51,13.49,3.048
14.69,15,308.709991,15.28,308.949982,4.63,308.359985,5.06,4.79,308.329987,4.95,14.23,2.4384
14.74,14.81,317.220001,14.84,316.589996,6.09,317.320007,6.73,6.45,317.420013,6.65,14.66,3.6576
14.84,14.82,316.949982,14.78,317.420013,6.65,317.220001,6.61,6.73,317.089996,6.7,14.81,1.2192
13.76,13.549999,315.409973,13.41,315.200012,5.44,316.720001,4.46,5.12,316.119995,4.78,14.169999,1.8288
12.23,12.45,324.779999,14.889999,315.429993,3.4,316.049988,4.16,3.65,317.049988,3.93,12.209999,1.2192
12.94,13.91,307.809967,15.36,313.709991,3.92,314.079987,5.84,4.59,311.919983,5.34,12.62,1.2192
13.91,15.36,305.140015,15.59,314.079987,4.59,311.919983,5.98,5.34,307.809967,5.84,12.94,1.2192
14.349999,13.98,299.75,13.48,301.549988,4.6,301.049988,3.86,4.32,300.080017,4.08,14.52,1.2192
11.14,11.05,302.459991,17.48,298.47998,2.32,299.580017,2.94,2.41,300.359985,2.62,11.28,1.2192
16.359999,16.289999,299.98999,16.199999,299.670013,4.47,299.799988,4.79,4.68,299.97998,4.79,16.4,1.2192
16.199999,16.08,299.359985,15.919999,299.97998,4.79,299.98999,4.6,4.79,299.769989,4.72,16.289999,1.2192
14.23,13.68,301.570007,13.26,299.899994,4.38,300.709991,4.36,4.44,302,4.43,14.42,1.2192
12.13,11.99,300.660004,11.86,300.630005,3.65,300.569977,3.24,3.51,300.639984,3.37,12.299999,1.8288
10.86,10.749999,309.809967,10.59,304.709991,2.6,304.5,2.32,2.5,304.269989,2.4,10.98,1.8288
15.059999,14.83,298.980011,14.7,298.289978,2.79,301.389984,3.12,2.94,300.119995,3.05,15.639999,1.8288
14.83,14.7,298.050018,14.589999,301.389984,2.94,300.119995,3.14,3.05,298.980011,3.12,15.059999,1.8288
14.6,14.53,305.539978,14.469999,306.099976,3.57,306.470001,3.74,3.69,306.130005,3.75,14.599999,1.2192
14.469999,14.39,303.839996,14.29,306.130005,3.75,305.539978,3.59,3.74,304.73999,3.68,14.53,1.2192
13.61,13.449999,309.670013,13.29,311.059967,4.61,310.76001,4.66,4.69,310.23999,4.7,13.719999,0.6096
13.29,13.129999,308.859985,12.889999,310.23999,4.7,309.670013,4.46,4.66,309.059967,4.57,13.449999,1.2192
11.93,11.75,320.289978,11.52,317.019989,3.89,320.019989,3.52,3.77,323.689972,3.63,12.05,1.2192
11.379999,11.5,314.5,11.63,333.809967,2.14,326.579987,2.53,2.23,319.640015,2.36,11.26,1.2192
14.51,14.6,302.679993,14.61,302.669983,3.52,302.399994,3.91,3.69,302.429993,3.83,14.41,0.6096
14.6,14.61,303.049988,14.589999,302.399994,3.69,302.429993,3.94,3.83,302.679993,3.91,14.51,0.6096
13.65,13.51,304.850006,13.4,303.140015,3.57,303.459991,3.35,3.49,304.029999,3.42,13.879999,2.4384
11.02,10.940001,41.59,7.37,322.790009,2.78,322.339996,3.12,2.85,321.850006,2.95,11.099999,3.048
8.42,8.47,45.539997,8.46,46.650002,3.97,46.649998,3.76,3.95,45.909996,3.85,8.23,2.4384
8.46,8.41,47.179996,8.41,45.909996,3.85,45.539997,3.56,3.76,46.279999,3.67,8.47,2.4384
8.45,8.45,52.139999,8.4,51.509998,3.01,51.540001,2.77,2.92,51.889999,2.85,8.46,2.4384
7.76,8,70.68,7.54,68.949997,2.62,69.389999,2.58,2.58,69.889999,2.56,7.36,3.048
7.86,15.11,310.809998,14.629999,73.919998,2.79,70.020004,3.22,2.95,311.069977,3.1,7.23,3.6576
13.22,13.309999,309.97998,13.59,309.200012,3.25,309.159973,3.46,3.28,309.399994,3.35,13.22,3.048
13.459999,13.429999,309.73999,13.42,311.100006,3.65,310.809998,3.78,3.67,310.339996,3.71,13.52,3.048
13.42,13.42,308.48999,13.419999,310.339996,3.71,309.73999,3.85,3.78,309.089966,3.83,13.429999,2.4384
13.349999,13.32,306.269989,13.26,306.539978,3.73,306.329987,3.47,3.66,306.25,3.58,13.37,2.4384
