@relation FullFiltersAllSimilarValuesStrategy

@attribute ww3Height numeric
@attribute ww3Period numeric
@attribute ww3Direction numeric
@attribute visualObservation numeric

@data
2.91,9.91,66.759995,2.4384
2.54,9.25,59.450001,2.4384
2.58,8.97,65.540001,2.4384
3.13,13.01,331.779968,3.6576
2.84,13.37,316.059998,2.4384
2.02,10.789999,303.360016,2.4384
3.07,12.15,309.959991,3.048
2.06,12.2,311.409973,1.8288
2.02,9.429999,328.319977,2.4384
2.64,9.02,342.589996,3.048
2.67,9.15,346.630005,2.4384
2.59,9.27,359.149994,2.4384
2.21,12.45,311.790009,2.4384
2.49,10.25,71.610001,3.048
2.47,11.75,297.859985,2.4384
2.29,10.93,325.72998,2.4384
1.67,9.68,328.329987,1.8288
1.89,9.99,292.669983,1.8288
1.76,10.27,320.47998,1.8288
1.84,7.29,77.089996,1.2192
1.85,7,66.57,1.2192
1.87,7.01,67.540001,1.2192
1.76,7.63,73.779999,1.8288
1.61,7.7,72.769997,1.2192
1.77,5.93,74.379997,1.2192
1.92,5.96,75.860001,1.8288
1.6,10.05,347.540009,1.8288
1.66,7.77,62.379997,1.2192
2.27,11.17,319.98999,2.4384
2.07,9.79,321.589996,2.4384
2.54,13.219999,323.910004,3.048
2.58,12.61,327.25,3.048
2.05,11.860001,316.659973,2.4384
2.42,10.219999,320.779999,3.048
3.23,12.2,318.499969,3.048
2.88,12.11,317.059967,3.048
2.57,11.209999,316.700012,2.4384
3.18,13.33,316.599976,3.6576
