@relation NoDirectionStrategy

@attribute buoyHeight numeric
@attribute buoyPeriod numeric
@attribute buoyDirection numeric
@attribute ww3Height numeric
@attribute ww3Period numeric
@attribute ww3Direction numeric
@attribute visualObservation numeric

@data
5.3,12.5,331,4.69,13.280001,313.209991,10.9728
3.71,14.29,314,4.42,12.940001,312.420013,7.3152
3.16,9.88,318,2.97,10.76,319.220001,6.096
4.01,12.5,325,3.8,11.52,322.880005,10.3632
2.88,14.29,326,3.95,13.44,317.999969,5.4864
4.34,15.38,325,4.83,15.309999,317.779999,12.192
5.27,15.38,312,6.46,16.139999,312.189972,16.4592
4.65,16.67,307,5.88,15.809999,310.009979,8.5344
3.08,18.18,314,4.89,16.67,314.749969,9.144
3.35,16.67,322,5.08,15.809999,311.160004,9.144
3.1,13.33,315,4.14,13.87,308.109985,4.8768
2.17,13.33,328,3.32,12.4,314.459991,3.048
1.23,11.76,315,2.3,11.37,315.679993,1.8288
1.11,11.76,321,2.06,11.02,317.669983,2.4384
2.98,16.67,310,3.28,15.62,309.679993,8.5344
2.34,15.38,311,3.37,14.8,307.889984,4.8768
2.2,13.33,317,3.7,13.86,298.959991,4.8768
3.17,10.53,33,4.46,13.879999,297.040009,3.6576
3.59,11.76,31,5.28,11.190001,69.769997,3.6576
3.5,10.53,33,5.25,11.21,70.239998,3.6576
3.35,12.5,33,4.94,11.11,67.889999,3.048
2.87,11.76,40,3.9,10.2,68.739998,2.4384
2.36,11.11,42,2.91,9.91,66.759995,2.4384
1.78,10.53,40,2.36,9.57,73.260002,1.8288
1.72,9.88,38,2.33,9.43,77.669998,2.4384
1.97,11.76,349,2.26,9.469999,88.559998,2.4384
3.2,10.53,14,3.25,9.65,66.869995,4.8768
3.38,11.11,6,3.31,9.6,64.790001,3.6576
2.69,12.5,9,2.87,9.65,58.299995,2.4384
2.36,11.11,33,3.01,9.12,74.619995,2.4384
2.01,9.88,45,2.82,9.18,88.82,3.6576
2.17,14.29,357,3.08,9.429999,93.040001,4.8768
2.3,16.67,304,3.01,9.44,93.379997,4.2672
1.65,14.29,312,2.51,13.499999,303.97998,3.6576
2.28,14.29,342,2.43,11.84,308.380005,3.6576
2.98,12.5,335,3.15,11.889999,323,5.4864
3.12,13.33,338,3.24,13.25,331.200012,6.096
3.16,13.33,328,3.13,13.01,331.779968,3.6576
2.6,11.76,325,2.5,10.67,327.339996,3.6576
4.35,15.38,2,3.74,12.129999,352.509979,9.144
4.21,14.29,4,3.97,12.559999,358.170013,6.096
3.46,13.33,3,3.38,11.719999,1.35,3.6576
3.33,16.67,315,2.88,8.73,52.209999,7.3152
3.13,16.67,312,3.01,8.99,52.07,4.2672
2.37,11.11,10,2.7,9.17,57.34,4.8768
2.67,15.38,317,2.79,14.15,317.009979,6.096
2.48,14.29,325,2.84,13.37,316.059998,2.4384
1.85,12.5,325,2.17,11.289999,309.809998,1.2192
1.38,7.69,30,2.2,7.17,80.339996,1.8288
1.33,11.76,315,2.02,10.789999,303.360016,2.4384
2,15.38,315,2.91,14.24,305.209991,6.096
3.13,14.29,325,3.37,12.959999,307.879974,6.096
2.84,13.33,328,3.07,12.15,309.959991,3.048
1.92,16.67,303,2.93,15.89,307.98999,3.6576
2.52,15.38,304,3.28,13.56,307.22998,7.3152
3.35,8.33,21,3.47,7.1,59.809998,3.6576
3.1,8.33,28,3.32,7.67,65.839996,2.4384
2.2,9.88,30,3.34,8.4,72.190002,1.8288
1.83,10.53,16,2.48,8.07,60.089996,3.048
1.42,9.88,20,2.24,12.77,313.139984,1.8288
1.91,10.53,319,1.8,9.7,317.47998,2.4384
2.95,9.88,350,2.64,9.02,342.589996,3.048
3.01,9.88,355,2.67,9.15,346.630005,2.4384
2.71,10.53,11,2.59,9.27,359.149994,2.4384
2.28,11.11,14,2.55,6.99,68.709999,1.8288
1.9,10.53,2,2.36,7.61,73.399994,1.8288
1.43,8.33,30,2,7.57,81.370003,2.4384
1.43,12.5,346,2,10.879999,314.679993,2.4384
2.15,14.29,343,2.27,9.889999,330.380005,4.8768
2.05,13.33,345,2.17,12.24,338.130005,3.048
2.37,14.29,336,2.92,13.799999,322.559998,5.4864
2.4,14.29,322,2.83,13.29,321.149994,4.2672
1.98,13.33,317,2.26,12.5,311.72998,2.4384
1.54,9.09,30,2.15,8.93,83.82,1.8288
1.89,11.76,14,2.49,10.25,71.610001,3.048
3.54,8.33,356,3.25,10.09,70.889999,3.048
3.37,10.53,353,3.69,9.78,28.66,2.4384
2.84,7.69,17,3.48,9.85,51.959999,3.048
2.42,9.88,9,3.05,9.27,53.869999,2.4384
2.18,11.11,10,2.9,8.79,65.809998,3.048
1.91,11.76,357,2.52,8.44,74.029999,2.4384
1.47,11.11,355,2.14,8.15,75.219994,1.2192
1.83,16.67,310,1.93,11.110001,316.529999,4.2672
1.93,13.33,318,2.7,12.309999,303.73999,3.6576
1.93,12.5,303,2.55,11.879999,300,2.4384
1.47,11.11,324,2.12,8.23,97.559998,1.8288
1.25,8.33,28,1.84,8.23,97.279999,1.2192
1.05,12.5,317,1.92,8.38,97.799995,0.6096
2.79,11.11,315,3.4,12.15,319.720001,4.8768
3.66,14.29,333,3.56,12.29,334.320007,10.3632
3.27,14.29,331,3.32,12.17,336.869995,8.5344
3.02,13.33,339,3.05,11.91,338.509979,7.3152
2.39,13.33,332,2.74,11.75,334.440002,4.2672
1.83,11.11,343,2.29,10.93,325.72998,2.4384
1.45,10.53,336,1.67,9.68,328.329987,1.8288
1.41,14.29,317,1.55,11.23,295.369995,3.6576
1.42,12.5,311,1.82,11.78,307.410004,3.048
1.86,10.53,331,2,10.69,312.399994,3.6576
1.7,11.11,328,1.93,9.94,313.910004,3.048
1.37,11.11,332,1.62,9.29,317.609985,2.4384
1.03,14.29,270,1.81,13.52,237.199982,1.8288
1,13.33,283,1.58,12.03,243.119995,2.4384
1.37,11.76,291,2.05,10.469999,292.719971,3.048
1.32,11.76,280,1.95,10.12,292.359985,1.8288
1.63,11.11,345,1.86,8.3,83.159996,2.4384
1.59,11.11,346,1.92,8.5,81.499992,1.8288
1.49,10.53,342,1.99,8.389999,81.449997,1.2192
1.32,9.88,342,1.85,8.46,90.169998,1.8288
1.28,9.09,18,1.84,8.349999,83.069992,0.6096
2.02,11.11,326,1.9,8.38,59.549999,3.6576
2.66,11.76,328,2.13,9.17,4.74,3.6576
2.01,11.11,331,2.69,9.440001,19.269999,3.048
1.83,10.53,343,2.44,8.73,73.239998,1.2192
1.51,8.33,38,2.23,8.58,79.379997,0.6096
1.42,12.5,324,2.05,8.35,84.470001,0.6096
1.26,9.09,40,1.86,7.61,74.569992,0.6096
1.37,7.69,48,1.93,7.47,80.57,0.6096
1.6,9.09,41,2.24,8.1,88.199997,1.2192
1.89,9.09,52,2.46,8.28,84.770004,1.2192
1.91,8.33,47,2.55,8.26,84.690002,2.4384
1.4,9.88,332,2.33,8.13,73.669998,1.2192
1.32,8.33,18,2.09,7.58,73.370003,1.2192
1.17,9.88,23,1.83,7.58,88.299995,1.2192
1.1,7.14,35,1.69,6.92,78.510002,1.2192
1.18,13.33,310,1.67,7.78,89.760002,1.8288
1.73,5.26,41,2.45,8.11,95.839996,1.2192
1.7,5.88,45,2.43,8.16,96.129997,1.2192
1.28,5.88,38,2.19,8.360001,93.439995,0.6096
1.23,5.88,24,2,8.379999,95.189995,0.6096
1.17,6.25,35,1.93,8.1,96.139999,0.6096
1.42,7.69,349,1.99,7.43,75.299995,1.2192
1.52,7.14,3,2.13,6.49,59.629997,1.2192
1.53,7.14,27,1.93,13.42,190.220001,1.2192
1.38,8.33,37,1.73,7.5,83.519997,1.2192
1.38,7.69,34,1.71,7.48,83.019997,2.4384
1.44,15.38,319,1.79,7.13,82.489998,2.4384
1.52,12.5,329,2.04,7.19,82.190002,1.8288
1.53,7.69,49,2.12,7.48,85.620003,0.6096
1.66,8.33,47,2.22,7.51,84.410004,0.6096
1.51,9.09,44,2.07,7.889999,83.059998,0.6096
1.31,8.33,48,1.82,7.53,84.209999,1.2192
0.95,10.53,11,1.46,7.27,88.529991,1.2192
0.7,10.53,342,1.21,7.2,85.540001,1.2192
0.78,9.09,353,1.14,7.37,73.300003,1.2192
0.98,11.11,322,1.32,13.530001,277,1.8288
1.01,11.11,321,1.44,13.17,274.579987,1.8288
1.04,9.88,317,1.51,11.429999,277.140015,1.2192
0.73,8.33,319,1.33,11.95,178.759995,0.6096
1.6,13.33,333,1.87,13.459999,334.429993,4.2672
2.07,12.5,331,2.12,12.349999,329.619995,4.2672
1.62,11.76,322,1.76,10.27,320.47998,1.8288
1.3,9.88,343,1.57,9.21,321.629974,0.6096
0.91,9.09,340,1.6,15.67,149.189987,0.6096
0.82,14.29,259,1.6,14.39,159.759995,0.6096
0.89,11.76,315,1.62,13.15,176.349991,1.2192
1.16,9.88,321,1.74,13.07,194.770004,1.2192
1.17,10.53,335,1.69,12.99,195.119995,0.6096
1.05,9.88,332,1.56,6.63,78.580002,0.6096
1.01,6.67,37,1.5,6.76,79.169998,1.2192
1.28,9.09,51,1.84,7.29,77.089996,1.2192
1.6,10.53,35,2.04,8.599999,64.43,1.2192
1.89,9.88,42,2.45,8.35,61.969997,1.2192
1.75,9.88,48,2.31,8.309999,65.199997,1.2192
1.81,9.09,44,2.33,8.34,65.599998,1.2192
1.76,9.09,38,2.48,15.709999,193.800003,0.6096
1.53,7.69,38,2.29,14.48,193.690002,0.6096
1.35,11.76,350,1.84,5.93,81.069992,1.2192
1.48,11.11,332,1.81,6.17,84.989998,1.8288
1.39,10.53,17,1.84,6.25,87.889999,1.2192
1.31,6.25,47,1.77,6.849999,90.989998,0.6096
1.35,6.67,48,1.88,7.34,93,0.6096
1.65,7.69,45,1.97,7.63,90.980003,0.6096
1.9,8.33,41,2.2,7.6,86.110001,1.2192
1.81,8.33,45,2.17,7.56,86.059998,1.2192
1.52,16.67,307,2.27,7.5,84.379997,3.048
1.48,6.25,49,2,7.85,86.529999,1.8288
1.29,12.5,315,1.98,7.89,86.829994,1.2192
1.16,5.88,35,1.82,7.82,84.260002,1.2192
1.09,9.09,339,1.68,6.51,87.529999,0.6096
1.04,4.76,47,1.56,6.79,87.419998,0.6096
1.16,5.88,42,1.81,6.32,91.089996,0.6096
1.31,5,48,1.95,6.76,92.029999,0.6096
1.38,6.25,41,2.16,7.45,90.579994,0.6096
1.35,6.25,41,2.12,7.87,89.169998,0.6096
1.35,5.88,44,2.07,7.76,88.5,0.6096
1.46,6.67,49,2.01,7.41,85.589996,0.6096
1.64,6.25,47,2.1,7.17,77.839996,0.6096
1.53,7.14,44,2.2,6.97,75.080002,0.6096
1.47,7.69,47,2.06,7.02,76.009995,0.6096
1.2,6.25,40,1.57,5.99,75.080002,0.6096
1.84,6.67,44,1.87,6.03,74.540001,2.4384
1.76,11.11,356,1.94,6.21,74.57,2.4384
1.68,10.53,355,1.95,6.63,79.299995,1.8288
1.24,8.33,17,1.67,7.26,72.709999,0.6096
1.54,8.33,2,1.41,7.22,70.709999,1.8288
1.51,9.09,357,1.45,7.11,64.979996,1.8288
1.69,7.69,33,1.79,6.29,75.800003,1.2192
1.65,7.69,40,1.85,7,66.57,1.2192
1.67,8.33,42,1.87,7.01,67.540001,1.2192
1.42,8.33,47,1.84,6.98,68.419998,0.6096
1.32,6.25,52,1.6,6.86,76.050003,0.6096
1.19,15.38,300,1.56,7.32,83.160004,0.6096
1.53,8.33,34,1.69,6.98,79.220001,0.6096
1.43,7.14,49,1.9,7.06,83.669998,0.6096
1.44,6.67,49,1.82,6.88,83.949997,1.2192
1.52,7.14,45,1.98,6.18,77.709999,1.2192
1.92,8.33,31,2.26,7.03,72.25,0.6096
1.9,9.09,28,2.21,7.33,65.079994,0.6096
1.5,8.33,37,2.07,7.83,66.790001,1.2192
1.34,8.33,45,1.82,7.65,73.970001,1.8288
1.22,9.09,37,1.93,8.639999,70.809998,1.8288
0.98,8.33,38,1.6,8.28,80.979996,1.2192
0.98,10.53,25,1.46,10.37,91.859993,1.2192
1.08,9.88,42,1.43,9.32,85.789993,0.6096
1.16,5.88,37,1.47,8.59,84,0.6096
1.29,6.67,41,1.7,6.39,76.739998,0.6096
1.43,6.67,45,1.7,6.74,82.019997,0.6096
1.75,8.33,42,2.02,7.2,77.149994,0.6096
1.77,8.33,45,2.49,7.63,77.480003,0.6096
1.58,7.69,42,2.3,7.67,78.019997,0.6096
1.47,7.69,51,2.01,7.48,80.730003,0.6096
1.45,7.14,44,2.01,7.48,80.879997,0.6096
1.45,7.69,42,2.1,7.47,82.099998,0.6096
1.66,7.69,47,1.98,7.67,82.400002,0.6096
1.14,6.25,47,1.98,7.77,87.870003,0.6096
1.11,9.09,44,1.47,8.139999,97.110001,0.6096
1.04,9.09,42,1.55,8.18,88.970001,0.6096
0.88,9.88,44,1.52,8.01,91.469994,0.6096
0.96,5.26,49,1.59,7.87,100.259995,0.6096
1.2,5.88,49,1.71,7.48,91.559998,0.6096
1.32,6.25,45,1.82,5.79,75.230003,0.6096
1.32,5.88,38,1.84,6.46,83.830002,0.6096
1.24,8.33,34,1.79,6.61,88.760002,0.6096
0.99,7.69,30,1.57,7.47,88.279999,0.6096
0.89,5.26,49,1.41,13.429999,190.359985,1.2192
1.04,16.67,304,1.49,5.61,83.82,2.4384
1.15,16.67,300,1.42,5.65,83.519997,2.4384
1.14,13.33,305,1.78,13.009999,219.559998,3.048
1.28,13.33,317,1.92,11.87,234.499985,2.4384
1.38,12.5,308,1.94,11.679999,250.039993,3.048
1.47,11.76,322,2.01,6.71,97.879997,2.4384
1.27,9.88,346,2.01,9.389999,73.540001,1.8288
