@relation NoWW3Strategy

@attribute buoyHeight numeric
@attribute buoyPeriod numeric
@attribute buoyDirection numeric
@attribute visualObservation numeric

@data
1,8.33,38,8.5344
3,8.33,38,3.6576
3.57,11.11,42,3.6576
3.42,11.76,41,3.6576
3.31,12.5,40,3.048
2.87,11.76,40,2.4384
2.36,11.11,42,2.4384
1.78,10.53,40,1.8288
1.72,9.88,38,2.4384
1.49,9.88,35,2.4384
2.32,9.88,35,2.4384
2.23,9.88,38,2.4384
2.01,9.88,45,3.6576
2.05,9.09,35,4.8768
2.2,10.53,37,4.8768
1.82,6.67,44,2.4384
1.67,7.14,48,1.2192
1.36,8.33,42,1.8288
2.29,8.33,35,2.4384
1.71,8.33,35,1.8288
1.54,8.33,37,1.8288
1.41,7.69,40,2.4384
1.84,9.88,48,3.048
1.8,10.53,35,3.048
1.22,7.69,49,1.8288
1.12,7.69,40,1.2192
1,8.33,40,0.6096
0.95,7.69,58,4.8768
1.19,9.88,40,0.6096
1.07,9.09,40,3.6576
1.38,7.69,35,1.2192
1.51,8.33,38,0.6096
1.35,8.33,38,0.6096
1.26,9.09,40,0.6096
1.37,7.69,48,0.6096
1.6,9.09,41,1.2192
1.89,9.09,52,1.2192
1.91,8.33,47,2.4384
1.32,7.14,41,1.2192
1.1,7.14,35,1.2192
1.15,8.33,44,1.8288
1.73,5.26,41,1.2192
1.7,5.88,45,1.2192
1.28,5.88,38,0.6096
1.16,7.69,41,0.6096
1.17,6.25,35,0.6096
1.31,7.69,38,1.2192
1.38,8.33,37,1.2192
1.21,7.69,37,2.4384
1.53,7.69,49,0.6096
1.66,8.33,47,0.6096
1.51,9.09,44,0.6096
1.31,8.33,48,1.2192
0.79,3.45,47,1.2192
1.07,6.67,45,0.6096
1.03,7.14,38,0.6096
1.01,6.67,37,1.2192
1.28,9.09,51,1.2192
1.6,10.53,35,1.2192
1.89,9.88,42,1.2192
1.75,9.88,48,1.2192
1.81,9.09,44,1.2192
1.76,9.09,38,0.6096
1.53,7.69,38,0.6096
1.34,6.25,44,1.2192
1.41,7.14,45,1.8288
1.37,6.67,40,1.2192
1.31,6.25,47,0.6096
1.35,6.67,48,0.6096
1.65,7.69,45,0.6096
1.9,8.33,41,1.2192
1.81,8.33,45,1.2192
1.41,7.14,41,3.048
1.48,6.25,49,1.8288
1.23,6.67,41,1.2192
1.16,5.88,35,1.2192
1.05,5.26,41,0.6096
1.04,4.76,47,0.6096
1.16,5.88,42,0.6096
1.31,5,48,0.6096
1.38,6.25,41,0.6096
1.35,6.25,41,0.6096
1.35,5.88,44,0.6096
1.46,6.67,49,0.6096
1.64,6.25,47,0.6096
1.53,7.14,44,0.6096
1.47,7.69,47,0.6096
1.2,6.25,40,0.6096
1.84,6.67,44,2.4384
0.89,8.33,38,0.6096
0.79,8.33,37,1.8288
1.68,7.69,37,1.2192
1.65,7.69,40,1.2192
1.67,8.33,42,1.2192
1.42,8.33,47,0.6096
1.32,6.25,52,0.6096
1.17,8.33,44,0.6096
1.43,7.14,45,0.6096
1.43,7.14,49,0.6096
1.44,6.67,49,1.2192
1.52,7.14,45,1.2192
1.91,8.33,37,0.6096
1.66,9.09,37,0.6096
1.5,8.33,37,1.2192
1.34,8.33,45,1.8288
1.22,9.09,37,1.8288
0.98,8.33,38,1.2192
0.97,10.53,35,1.2192
1.08,9.88,42,0.6096
1.16,5.88,37,0.6096
1.29,6.67,41,0.6096
1.43,6.67,45,0.6096
1.75,8.33,42,0.6096
1.77,8.33,45,0.6096
1.58,7.69,42,0.6096
1.47,7.69,51,0.6096
1.45,7.14,44,0.6096
1.45,7.69,42,0.6096
1.66,7.69,47,0.6096
1.14,6.25,47,0.6096
1.11,9.09,44,0.6096
1.04,9.09,42,0.6096
0.88,9.88,44,0.6096
0.96,5.26,49,0.6096
1.2,5.88,49,0.6096
1.32,6.25,45,0.6096
1.32,5.88,38,0.6096
1.24,8.33,40,0.6096
0.98,7.14,44,0.6096
0.89,5.26,49,1.2192
0.93,5.88,42,2.4384
1.12,15.38,35,2.4384
1.04,6.67,38,0.6096
1.51,6.67,41,1.8288
1.24,8.33,37,1.8288
