@relation 'North Shore Oahu'

@attribute buoyHeight numeric
@attribute buoyPeriod numeric
@attribute buoyDirection numeric
@attribute ww3Height numeric
@attribute ww3Period numeric
@attribute ww3Direction numeric
@attribute visualObservation numeric

@data
3.8,14.29,317,4.58,13.53,312.829987,18
3.96,15.38,318,4.58,13.53,312.829987,18
4.24,15.38,319,4.58,13.53,312.829987,18
4.04,14.29,310,4.58,13.53,312.829987,18
4.37,15.38,321,4.58,13.53,312.829987,18
4.42,14.29,325,4.58,13.53,312.829987,18
4.98,12.5,318,4.58,13.53,312.829987,18
4.53,13.33,322,4.58,13.53,312.829987,18
4.9,13.33,321,4.58,13.53,312.829987,18
5.06,13.33,332,4.58,13.53,312.829987,18
4.91,13.33,333,4.58,13.53,312.829987,18
5.3,12.5,331,4.58,13.53,312.829987,18
5.22,13.33,328,4.58,13.53,312.829987,18
5.02,14.29,325,4.58,13.53,312.829987,18
4.82,14.29,311,4.58,13.53,312.829987,18
4.37,12.5,322,4.58,13.53,312.829987,18
4,13.33,328,4.58,13.53,312.829987,18
3.74,15.38,321,4.58,13.53,312.829987,18
3.9,14.29,321,4.58,13.53,312.829987,18
3.93,11.11,325,4.58,13.53,312.829987,18
4.21,14.29,324,4.58,13.53,312.829987,18
3.7,14.29,319,4.58,13.53,312.829987,18
3.62,13.33,318,4.58,13.53,312.829987,18
3.48,13.33,329,4.58,13.53,312.829987,18
3.87,14.29,315,4.58,13.53,312.829987,18
3.2,14.29,331,4.58,13.53,312.829987,18
3.41,14.29,324,4.58,13.53,312.829987,18
3.86,14.29,317,4.58,13.53,312.829987,18
3.54,14.29,312,4.64,13.11,313.259979,12
3.58,14.29,311,4.64,13.11,313.259979,12
3.46,13.33,318,4.64,13.11,313.259979,12
3.48,11.76,319,4.64,13.11,313.259979,12
3.62,14.29,315,4.64,13.11,313.259979,12
3.37,13.33,322,4.64,13.11,313.259979,12
3.71,14.29,314,4.64,13.11,313.259979,12
3.29,13.33,326,4.64,13.11,313.259979,12
3.68,14.29,303,4.64,13.11,313.259979,12
3.63,14.29,314,4.64,13.11,313.259979,12
3.52,13.33,319,4.64,13.11,313.259979,12
3.26,12.5,321,4.64,13.11,313.259979,12
3.26,12.5,331,4.64,13.11,313.259979,12
3.34,13.33,315,4.64,13.11,313.259979,12
3.57,12.5,328,4.64,13.11,313.259979,12
3.15,11.76,329,4.64,13.11,313.259979,12
3.12,13.33,319,4.64,13.11,313.259979,12
3.13,12.5,324,4.64,13.11,313.259979,12
2.94,13.33,317,4.64,13.11,313.259979,12
2.84,13.33,329,4.64,13.11,313.259979,12
2.78,13.33,329,4.64,13.11,313.259979,12
2.91,13.33,321,4.64,13.11,313.259979,12
2.8,12.5,315,4.64,13.11,313.259979,12
2.48,11.76,325,4.64,13.11,313.259979,12
2.55,13.33,324,4.64,13.11,313.259979,12
2.47,13.33,331,4.64,13.11,313.259979,12
2.32,11.76,318,4.64,13.11,313.259979,12
2.38,13.33,324,4.64,13.11,313.259979,12
2.49,13.33,321,2.88,11.83,313.429993,10
2.26,13.33,326,2.88,11.83,313.429993,10
2.16,12.5,332,2.88,11.83,313.429993,10
2.39,13.33,326,2.88,11.83,313.429993,10
2.36,13.33,328,2.88,11.83,313.429993,10
2.4,12.5,324,2.88,11.83,313.429993,10
2.29,12.5,311,2.88,11.83,313.429993,10
2.64,12.5,329,2.88,11.83,313.429993,10
2.54,11.76,328,2.88,11.83,313.429993,10
2.47,12.5,315,2.88,11.83,313.429993,10
2.35,12.5,325,2.88,11.83,313.429993,10
2.48,12.5,315,2.88,11.83,313.429993,10
2.61,11.76,326,2.88,11.83,313.429993,10
2.69,12.5,319,2.88,11.83,313.429993,10
3.04,9.88,326,2.88,11.83,313.429993,10
3.1,10.53,322,2.88,11.83,313.429993,10
3.16,9.88,318,2.88,11.83,313.429993,10
2.96,10.53,319,2.88,11.83,313.429993,10
3.12,10.53,314,2.88,11.83,313.429993,10
2.84,11.76,318,2.88,11.83,313.429993,10
2.89,11.76,325,2.88,11.83,313.429993,10
2.73,11.76,325,2.88,11.83,313.429993,10
2.9,12.5,335,2.88,11.83,313.429993,10
2.88,12.5,332,2.88,11.83,313.429993,10
2.77,11.76,315,2.88,11.83,313.429993,10
2.82,12.5,336,2.88,11.83,313.429993,10
2.81,10.53,326,2.88,11.83,313.429993,10
2.98,11.76,332,2.88,11.83,313.429993,10
3.11,12.5,329,3.37,10.839999,321.320007,17
3.16,13.33,332,3.37,10.839999,321.320007,17
3.27,11.76,332,3.37,10.839999,321.320007,17
3.44,14.29,336,3.37,10.839999,321.320007,17
3.51,11.76,326,3.37,10.839999,321.320007,17
3.51,12.5,333,3.37,10.839999,321.320007,17
