@relation NoBuoyStrategy

@attribute ww3Height numeric
@attribute ww3Period numeric
@attribute ww3Direction numeric
@attribute visualObservation numeric

@data
5.5,13.33,314.699982,1.8288
5.05,13.2,312.749969,1.8288
3.25,10.79,318.73999,1.8288
4.8,13.57,321.720001,1.8288
4.3,13.46,318.299988,1.8288
4.99,15.199999,318.779999,3.048
7,16.209999,312.609985,2.4384
6.4,15.92,310.269989,1.8288
4.82,17.309999,315.379974,2.4384
5.38,16.02,311.970001,2.4384
4.44,14.16,307.849976,1.8288
3.66,12.47,314.720001,1.8288
2.59,11.589999,315.850006,1.2192
2.4,13.219999,304.279999,1.2192
3.5,15.47,308.440002,1.8288
3.57,14.93,308.019989,1.8288
3.85,13.58,298.940002,3.048
4.95,9.4,67.309998,4.2672
5.76,11.15,68.809998,4.8768
5.73,11.16,69.099998,4.8768
5.38,11.05,66.160004,4.8768
4.35,10.21,66.980003,3.6576
3.23,9.87,66.089996,3.6576
2.75,9.809999,62.919998,2.4384
2.56,9.38,80.010002,2.4384
2.52,9.5,89.529991,2.4384
3.68,9.76,44.049999,3.6576
3.73,9.73,41.789997,3.048
3.3,10.19,36.359997,3.6576
3.5,9.09,77.369995,3.6576
3.3,8.96,86.330002,3.048
3.35,9.37,93.860001,3.048
3.25,9.48,94.220001,2.4384
2.81,13.61,303.23999,1.8288
2.63,13.299999,309.399994,2.4384
3.33,11.86,322.76001,2.4384
3.61,13.549999,329.790009,2.4384
3.46,13.16,330.649994,2.4384
2.47,10.44,327.970001,2.4384
4.38,12.74,351.940002,6.096
4.46,12.719999,354.700012,4.8768
3.82,11.789999,359.929993,3.6576
3.23,9.18,44.509998,3.6576
3.32,9.32,48.25,3.6576
3.06,9.12,55.369999,2.4384
3.04,13.96,316.720001,2.4384
3.05,13.58,316.119995,1.8288
2.48,7.11,82.699997,1.8288
2.46,7.34,81.669998,1.2192
2.3,8.53,100.269997,1.2192
2.79,14.44,304.040009,2.4384
3.7,13.030001,308.319977,2.4384
3.49,12.51,311.119995,1.2192
3.02,16.09,307.839996,1.2192
3.53,13.62,307.130005,1.8288
3.78,7.17,60.449997,2.4384
3.72,8.32,69.129997,3.048
3.61,8.389999,69.139999,2.4384
2.67,8.22,49.059998,1.8288
2.46,13.02,313.679993,1.2192
1.97,11.04,311.170013,1.2192
2.88,9.12,341,1.8288
2.94,9.24,346.409973,1.8288
2.95,9.68,12.46,2.4384
2.93,9.51,12.35,1.8288
2.73,7.46,75.119995,1.2192
2.3,7.54,82.540001,1.2192
2.18,10.83,316.390015,1.2192
