@relation MonthPeriodStrategy

@attribute ww3Height numeric
@attribute ww3Period numeric
@attribute ww3Direction numeric
@attribute visualObservation numeric

@data
3.19,13.879999,305.5,3.048
3.33,12.03,313.779968,6.096
3.38,12.01,313.599976,4.8768
3.03,12.5,308.940002,9.144
3.13,12.54,319.309998,5.4864
2.71,12.08,317.600006,5.4864
2.48,14.71,306.309998,4.2672
2.72,12.66,308.269989,4.8768
2.71,12.809999,307.22998,4.8768
2.74,13.09,302.970001,3.6576
2.68,12.9,302.349976,2.4384
3.65,15.799999,309.509979,12.192
4.05,15.1,307.470001,9.144
3.45,14.08,309.779999,4.2672
2.53,12.049999,319.429993,4.8768
2.85,14.36,330.339996,4.8768
4.38,16.33,322,15.24
4.66,15.609999,322.309998,9.144
3.61,13.459999,315.829987,7.3152
3.24,12.34,317.110016,4.2672
2.57,11.8,317.929993,3.6576
2.45,10.93,309.540009,3.048
2.89,14.329999,325.440002,3.048
2.64,12.25,315.359985,1.8288
2.46,9.29,101.469994,4.8768
3.07,14.01,312.559998,5.4864
3.02,13.589999,313.949982,3.048
2.59,11.9,314.690002,3.048
2.5,10.879999,334.609985,3.048
2.37,11.22,320.110016,1.2192
2.06,12.33,312.679993,9.144
2.99,14.01,318.72998,7.3152
2.94,13.62,316.380005,3.6576
2.35,12.23,306.949982,1.8288
2.55,8.63,13.429999,3.6576
2.7,9.48,5.09,3.6576
3.13,10.02,16.17,4.2672
3.03,9.99,19.709999,4.8768
2.78,15.95,309.48999,5.4864
2.61,13.51,308.130005,2.4384
2.7,9.32,82.049995,1.2192
2.7,9.32,80.929993,1.8288
2.62,9.39,75.779999,1.2192
2.46,9.38,78.449997,2.4384
3.15,7.75,65.989998,3.048
3.35,8.47,67.770004,3.048
3.32,8.54,67.300003,1.8288
2.75,9.02,81.090004,1.8288
2.14,9.36,90.25,1.8288
1.83,9.07,79.900002,1.8288
1.7,13.349999,325.830017,9.144
2.74,14.72,310.279999,7.3152
2.74,14.61,310.149994,4.2672
2.18,13.28,309.609985,3.048
3.16,14.17,319.23999,7.3152
3.12,13.690001,316.429993,5.4864
2.48,12.48,311.23999,9.144
3,14.529999,310.819977,7.3152
2.83,14.25,311.790009,5.4864
1.78,7.57,80.939995,1.2192
1.76,7.67,80.510002,1.8288
1.48,7.78,74.040001,1.8288
1.45,10.65,341.579987,1.2192
1.17,8.91,343.779999,1.2192
1.06,5.42,77.139992,0.6096
1.1,7.75,28.09,1.2192
1.25,7.32,51.229996,0.6096
1.44,15.62,181.440002,1.8288
1.89,9.51,0.71,1.8288
1.9,9.32,1.83,1.8288
1.84,8.5,42.599998,1.2192
1.78,8.78,66.589996,1.2192
1.67,9.139999,75.32,0.6096
1.48,8.28,65.760002,1.8288
1.56,11.24,342.359985,3.048
2.16,14.44,258.75,6.096
2.26,12.400001,329.549988,3.6576
2.24,12.190001,326.630005,1.8288
1.86,10.9,332.779999,1.2192
1.69,7.94,94.080002,0.6096
1.6,5.35,75.549995,0.6096
1.6,5.21,77.5,0.6096
1.77,15.02,346.829987,4.2672
2.18,12.629999,347.659973,3.6576
2.08,12.07,346.819977,3.6576
2.44,13.02,341.139984,3.048
2.36,12.440001,340.129974,1.8288
1.99,10.94,334.959991,1.2192
1.76,9.74,346.799988,1.8288
1.69,8.15,37.559998,3.048
2.95,11.2,10.48,4.8768
2.94,11.110001,10.43,4.8768
2.45,10.389999,11.91,2.4384
1.86,9.79,19.959999,2.4384
2.32,11.75,326.089996,3.6576
2.32,8.309999,97.949997,2.4384
2.35,8.440001,98.819992,1.8288
2.31,8.78,98.889992,1.8288
2.16,9.17,77.659996,1.8288
1.99,8.8,76.449997,3.048
1.92,8.129999,89.769997,1.8288
2.16,13.639999,313.959991,4.8768
2.32,12.139999,319.47998,4.2672
2.31,12.059999,321.659973,2.4384
1.95,10.74,329.75,3.048
1.8,9.18,8.990001,1.8288
1.89,8.37,41.459999,1.8288
1.92,8.24,40.950001,1.8288
2.05,8.79,47.349998,1.8288
2.13,9.46,44.389999,1.8288
2.12,9.459999,44.279999,1.2192
1.9,9.299999,42.169998,1.8288
1.6,8.309999,45.789997,1.2192
1.46,8.13,45.239998,1.2192
1.51,9.209999,80.25,1.8288
1.67,8.01,84.999992,4.2672
3.51,10.03,15.47,4.2672
3.43,10.02,17.34,3.048
2.8,9.28,22.67,3.6576
2.21,8.16,34.299999,4.2672
2.18,6.68,65.659996,2.4384
2.18,6.8,65.929993,4.8768
