@relation NoBuoyStrategy

@attribute ww3Height numeric
@attribute ww3Period numeric
@attribute ww3Direction numeric
@attribute visualObservation numeric

@data
4.84,13.32,316.589996,6.096
4.59,13.249999,315.299988,3.6576
3.07,12.01,312.869995,3.048
4.31,13.639999,324.959991,6.096
4.01,13.52,321.039978,2.4384
4.24,15.279999,321.610016,7.3152
6.22,16.27,314.149994,9.144
5.82,16,311.839996,4.2672
3.95,17.58,316.799988,6.096
4.74,15.9,312.230011,5.4864
4.02,14.27,305.749969,2.4384
3.28,12.57,315.619995,1.2192
2.37,11.719999,312.23999,0.6096
2.06,13.219999,305.189972,1.2192
2.98,15.809999,310.039978,4.8768
3.12,14.84,308.450012,3.048
3.35,13.53,300.23999,2.4384
4.28,13.799999,298.660004,1.8288
4.78,11.139999,62.360001,1.2192
4.7,11.17,63.619995,0.6096
4.24,11.08,60.209995,0.6096
3.49,10.26,61.359997,0.6096
2.63,9.86,61.359997,0.6096
2.27,9.809999,58.499996,0.6096
2.13,9.38,76.410004,1.2192
2.01,9.27,90.160004,0.6096
2.86,10.02,39.200001,0.6096
3.06,9.959999,33.229996,0.6096
2.8,10.44,31.629999,0.6096
2.76,8.86,82.470001,0.6096
2.55,8.73,92.93,1.8288
2.74,9.52,92.32,2.4384
2.72,9.54,91.699997,1.8288
2.42,13.74,303.449982,1.2192
2.29,13.379999,307.319977,1.8288
2.79,11.749999,323.399994,3.048
3.14,14.079999,329.799988,3.6576
3.09,13.35,331.329987,1.8288
2.25,11.29,327.219971,1.8288
3.76,12.869999,350.22998,3.6576
4,12.839999,355.420013,2.4384
3.42,11.91,1.34,1.8288
2.8,9.54,31.9,3.6576
2.8,9.34,43.929996,2.4384
2.62,9.13,51.099998,2.4384
2.55,14.48,318.570007,3.048
2.59,13.809999,317.299988,1.2192
2.05,11.83,314.049988,0.6096
2.04,7.62,77.150002,0.6096
1.96,8.66,95.169998,0.6096
2.31,14.61,302.390015,3.048
3.29,13.15,307.809967,3.6576
3.14,12.789999,311.019989,1.8288
2.57,10.14,353.749969,1.8288
3.17,13.69,308.119995,3.6576
3.22,6.95,58.139999,2.4384
3.18,8.17,60.889996,1.2192
3.08,8.35,62.259998,1.2192
2.34,13.589999,314.969971,1.2192
2.21,13.17,314.419983,1.2192
1.78,11.190001,311.049988,1.8288
2.49,9.12,339.109985,1.2192
2.54,9.3,353.519989,1.2192
2.58,9.809999,9.18,0.6096
2.51,9.73,11.77,0.6096
2.19,7.79,63.27,0.6096
1.78,7.68,74.730003,1.2192
1.85,11.01,315.029999,1.2192
2.08,13.38,339.629974,1.2192
2.04,12.91,340.22998,1.8288
2.73,13.98,323.249969,3.048
2.7,13.61,322.660004,1.8288
2.24,12.41,312.509979,1.2192
2,9.08,80.800003,1.2192
2.34,10.66,31.58,1.8288
2.79,10.17,67.639992,1.8288
3.46,9.82,29.309999,0.6096
3.35,9.79,37.360001,1.2192
2.86,9.27,41.519997,1.2192
2.65,8.98,50.099998,0.6096
2.47,11.24,335,1.8288
1.97,8.4,63.079998,1.2192
1.62,11.219999,320.309998,1.8288
2.48,12.44,303.799988,1.8288
2.45,12.29,303.589996,1.2192
1.9,8.87,92.559998,1.2192
1.73,8.530001,95.230003,0.6096
1.76,11.77,302.069977,0.6096
2.73,12.929999,314.759979,2.4384
3.49,12.24,323.169983,4.8768
3.31,12.29,333.589996,3.6576
2.9,11.870001,337.72998,3.048
2.65,11.8,334.790009,2.4384
2.28,11.09,327.190002,1.2192
1.67,9.969999,328.22998,1.2192
1.39,11.389999,296.5,2.4384
1.69,11.78,306.529999,1.8288
1.84,10.599999,312.089996,1.8288
1.85,10.22,313.199982,2.4384
1.67,9.349999,316.249969,3.048
1.69,13.34,230.75,1.8288
1.6,12.19,245.249985,2.4384
1.94,10.49,292.850006,2.4384
1.95,10.559999,292.889984,1.2192
1.66,9.09,299.809998,1.2192
1.89,8.8,48.68,1.8288
1.87,8.75,81.82,1.8288
1.73,8.45,84.739998,1.8288
1.72,8.33,77.719994,1.2192
1.63,8.26,72.779999,2.4384
2.37,9.46,13.94,2.4384
2.41,9.54,16.049999,1.8288
2.24,8.94,45.009998,1.2192
1.99,8.65,75.369995,1.2192
1.79,8.38,81.290001,1.8288
1.69,15.65,183.109985,3.6576
1.77,13.719999,185.589996,3.6576
2.04,8.19,84.860001,2.4384
2.25,8.42,82.620003,4.2672
2.26,8.4,82.340004,3.6576
2.16,13.56,187.87999,1.8288
1.87,7.7,68.560005,1.2192
1.72,8.059999,94.849998,1.2192
