@relation 2204

@attribute ww3PeriodPrevLect2 numeric
@attribute ww3PeriodPrevLect1 numeric
@attribute ww3Direction numeric
@attribute ww3Period numeric
@attribute ww3DirectPrevLect3 numeric
@attribute ww3HeightPrevLect3 numeric
@attribute ww3DirectPrevLect2 numeric
@attribute ww3Height numeric
@attribute ww3HeightPrevLect2 numeric
@attribute ww3DirectPrevLect1 numeric
@attribute ww3HeightPrevLect1 numeric
@attribute ww3PeriodPrevLect3 numeric
@attribute visualObservation numeric

@data
14.44,14.29,311.26001,14.08,313.119995,3.42,312.519989,3.39,3.44,312.01001,3.42,14.609999,4.8768
13.209999,13.719999,316.649994,14.7,311.119995,3,312.089996,3.73,3.14,313.380005,3.4,13.12,9.144
15.42,15.429999,315.809967,15.369999,316.399994,4.78,316.269989,4.73,4.85,316.070007,4.83,15.3,10.9728
15.369999,15.259999,315.130005,15.129999,316.070007,4.83,315.809967,4.38,4.73,315.470001,4.57,15.429999,9.144
15.009999,15.04,311.549988,15,319.100006,5.99,315.929993,7.11,6.82,313.360016,7.1,14.4,15.24
15.04,15,309.790009,14.92,315.929993,6.82,313.360016,7.02,7.1,311.549988,7.11,15.009999,12.192
13.839999,13.68,308.339996,13.58,305.23999,6.03,309.049988,5.42,5.83,308.539978,5.61,14.17,9.144
12.7,12.42,317.350006,12.249999,311.610016,4.33,316.920013,3.73,4.13,317.199982,3.92,12.99,3.048
16.01,16.299999,309.390015,16.209999,318.880005,2.8,313.420013,4.43,3.42,311.249969,3.99,13.369999,7.3152
16.209999,16.309999,307.959991,16.349998,309.390015,4.43,308.139984,5.02,4.71,307.789978,4.91,16.209999,15.24
16.029999,15.889999,308.320007,15.679999,308.589996,4.9,308.570007,4.54,4.78,308.410004,4.65,16.139999,9.144
14.389999,14.16,308.719971,13.64,307.76001,4.21,308.130005,3.94,4.15,308.709991,4.05,14.52,4.8768
12.51,12.289999,312.140015,12.17,309.720001,3.43,311.339996,3.18,3.34,311.649994,3.25,12.92,4.2672
11.29,11.16,320.859985,11.09,319.220001,2.82,319.75,2.46,2.72,320.289978,2.6,11.5,1.8288
10.09,10.16,328,12.15,316.119995,2.18,315.940002,3.17,2.47,316.029999,2.84,10.11,4.8768
12.09,12.41,315.789978,12.53,316.690002,4.91,318.869995,5.79,5.52,317.079987,5.79,11.139999,10.3632
12.53,12.599999,313.75,12.639999,317.079987,5.79,315.789978,5.41,5.79,314.699982,5.63,12.41,9.144
