@relation 2205

@attribute ww3PeriodPrevLect2 numeric
@attribute ww3PeriodPrevLect1 numeric
@attribute ww3Direction numeric
@attribute ww3Period numeric
@attribute ww3DirectPrevLect3 numeric
@attribute ww3HeightPrevLect3 numeric
@attribute ww3DirectPrevLect2 numeric
@attribute ww3Height numeric
@attribute ww3HeightPrevLect2 numeric
@attribute ww3DirectPrevLect1 numeric
@attribute ww3HeightPrevLect1 numeric
@attribute ww3PeriodPrevLect3 numeric
@attribute visualObservation numeric

@data
14.559999,14.41,312.029999,14.23,313.809967,3.25,313.160004,3.31,3.31,312.450012,3.32,14.77,2.4384
13.11,13.27,314.110016,13.91,311.220001,2.89,311.959991,3.46,2.99,312.940002,3.18,13.11,4.8768
15.299999,15.389999,316.539978,15.329999,317.100006,4.61,316.909973,4.73,4.74,316.75,4.78,15.15,6.096
15.329999,15.259999,316.019989,15.139999,316.75,4.78,316.539978,4.45,4.73,316.329987,4.61,15.389999,4.8768
14.969999,15.07,315.059998,15.03,319.170013,4.83,320.399994,6.81,5.91,317.320007,6.58,13.43,10.9728
15.07,15.03,313.309998,14.98,320.399994,5.91,317.320007,6.79,6.58,315.059998,6.81,14.969999,9.144
13.99,13.76,310.01001,13.63,307.409973,6.02,311.01001,5.47,5.84,310.549988,5.65,14.299999,6.096
12.929999,12.63,317.790009,12.389999,311.940002,4.43,312.649994,3.83,4.22,317.47998,4.02,13.089999,1.2192
17.199999,16.9,311.330017,16.49,317.959991,2.45,312.160004,4.16,3.01,313.129974,3.62,11.1,4.8768
16.259998,16.279999,308.73999,16.33,311.330017,4.16,309.75,4.93,4.53,308.889984,4.78,16.49,6.096
16.07,15.940001,309.190002,15.77,309.290009,4.97,309.359985,4.6,4.85,309.299988,4.73,16.18,4.8768
14.459999,14.299999,309.189972,13.88,308.190002,4.19,308.419983,4.01,4.16,308.890015,4.1,14.58,2.4384
12.789999,12.41,312.149994,12.24,309.789978,3.49,311.660004,3.2,3.39,311.859985,3.3,13.039999,2.4384
11.42,11.23,320.429993,11.13,317.26001,2.82,319.459991,2.51,2.73,319.929993,2.63,11.74,0.6096
10.15,10.13,317.5,10.18,317.950012,1.88,317.670013,2.81,2.11,317.519989,2.44,10.19,3.048
12.24,12.46,318.48999,12.579999,319.920013,4.65,321.709991,5.48,5.19,319.929993,5.45,11.35,4.8768
12.46,12.579999,317.179993,12.65,321.709991,5.19,319.929993,5.36,5.45,318.48999,5.48,12.24,3.6576
12.88,12.75,315.579987,12.56,315.690002,4.54,316.209991,3.85,4.33,315.389984,4.11,12.92,1.8288
13.719999,13.869999,312.019989,14.139999,316.309998,4.16,314.399994,4.44,4.26,312.980011,4.33,13.62,7.3152
14.599999,14.93,310.029968,15.21,312.019989,4.44,309.859985,4.84,4.58,309.779968,4.72,14.139999,6.096
14.77,14.83,319.179993,14.84,317.929993,5.46,318.899994,6.09,5.8,319.309998,6.01,14.69,7.3152
14.84,14.82,318.549988,14.78,319.309998,6.01,319.179993,5.99,6.09,318.910004,6.07,14.83,4.8768
13.719999,13.499999,316.98999,13.38,317.209991,5.07,318.100006,4.24,4.81,317.579987,4.52,14.169999,4.8768
14.48,14.19,320.339996,13.709999,324.660004,3.9,322.959991,3.88,3.98,321.5,3.94,14.77,3.6576
12.9,15.61,309.469971,15.7,315.320007,3.73,316.119995,5.53,4.36,311.48999,5.07,12.64,9.144
15.61,15.7,307.790009,15.67,316.119995,4.36,311.48999,5.66,5.07,309.469971,5.53,12.9,6.096
14.309999,13.809999,301.299988,13.43,303.679993,4.45,303.179993,3.74,4.19,301.630005,3.96,14.48,3.6576
11.16,17.76,303.839996,17.4,298.589996,2.23,299.619995,2.99,2.36,304.269989,2.62,11.28,3.6576
16.359999,16.289999,301.299988,16.199999,301.269989,4.46,301.359985,4.7,4.63,301.399994,4.71,16.4,6.096
16.199999,16.09,300.570007,15.94,301.399994,4.71,301.299988,4.5,4.7,301.039978,4.63,16.289999,3.6576
14.3,13.849999,302.799988,13.389999,300.73999,4.19,301.600006,4.12,4.22,303.289978,4.19,14.48,2.4384
12.139999,12.01,301.779999,11.89,302.25,3.47,301.949982,3.04,3.33,301.849976,3.18,12.33,1.2192
10.89,10.78,305.129974,10.65,305.73999,2.39,305.609985,2.09,2.29,305.429993,2.19,11,1.2192
14.94,14.789999,299.720001,14.67,303.48999,2.68,302.169983,2.97,2.81,300.880005,2.91,15.349999,3.048
14.789999,14.67,298.790009,14.57,302.169983,2.81,300.880005,2.98,2.91,299.720001,2.97,14.94,3.048
14.639999,14.549999,306.789978,14.469999,307.099976,3.45,307.440002,3.56,3.54,307.269989,3.58,14.72,4.2672
14.469999,14.39,305.299988,14.299999,307.269989,3.58,306.789978,3.41,3.56,306.119995,3.5,14.549999,3.6576
13.58,13.440001,312.380005,13.29,314.059967,4.21,313.700012,4.22,4.26,313.089996,4.26,13.68,3.6576
13.29,13.12,312.249969,12.809999,313.089996,4.26,312.380005,4.05,4.22,311.899994,4.15,13.440001,3.048
11.849999,11.61,321.349976,11.41,318.769989,3.54,321.98999,3.2,3.43,319.579987,3.31,12,1.8288
11.559999,11.65,310.600006,11.82,332.73999,1.99,325.48999,2.44,2.09,319.360016,2.25,11.45,1.8288
14.53,14.610001,304.089996,14.61,303.5,3.46,303.589996,3.8,3.63,303.799988,3.75,14.429999,1.8288
14.610001,14.61,304.419983,14.589999,303.589996,3.63,303.799988,3.81,3.75,304.089996,3.8,14.53,3.6576
13.629999,13.5,306.200012,13.389999,304.190002,3.39,304.630005,3.13,3.29,305.309998,3.21,13.86,1.2192
11.049999,10.98,323.779968,10.89,321.76001,2.34,322.5,2.51,2.38,323.119995,2.44,11.15,0.6096
8.52,8.52,44.809998,8.46,42.669998,3.15,43.649998,3.29,3.23,44.179996,3.27,8.45,0.6096
8.52,8.46,45.099998,8.48,43.649998,3.23,44.179996,3.18,3.27,44.809998,3.29,8.52,0.6096
8.5,8.49,46.829998,8.45,47.159996,2.62,47.189999,2.41,2.55,47.039997,2.49,8.5,0.6096
7.15,7.39,66.790001,7.55,66.549995,2.23,68.839996,2.3,2.3,65.919998,2.31,7.13,0.6096
15.639999,15.08,312.25,14.589999,67.369995,2.41,315.759979,2.82,2.58,312.439972,2.73,7.33,2.4384
13.19,13.27,311.160004,13.559999,310.26001,2.86,310.339996,3.08,2.89,310.580017,2.97,13.2,3.6576
13.449999,13.429999,310.5,13.42,312.199982,3.22,311.799988,3.35,3.24,311.179993,3.29,13.51,3.048
13.42,13.41,308.949982,13.379999,310.5,3.35,309.909973,3.43,3.39,309.449982,3.42,13.42,3.048
13.309999,13.28,307.22998,13.23,307.519989,3.41,307.249969,3.19,3.36,307.140015,3.29,13.33,2.4384
12.34,12.24,308.47998,12.139999,308.769989,2.82,308.679993,2.53,2.73,308.570007,2.64,12.46,4.8768
15.65,15.17,298.619995,14.94,301.149994,3.24,300.140015,3.37,3.35,299.830017,3.39,16.139999,3.6576
14.94,14.78,296.929993,14.66,299.830017,3.39,298.619995,3.22,3.37,297.689972,3.3,15.17,2.4384
13.44,13.33,294.940002,13.219999,295.420013,2.8,295.190002,2.67,2.77,295.040009,2.74,13.57,1.2192
12.190001,12.13,296.820007,12.059999,296.439972,2.28,296.519989,2.16,2.24,296.639984,2.2,12.26,3.6576
14.66,14.08,308.279999,13.72,309.809998,3.08,309.850006,3.45,3.36,308.540009,3.49,15.17,4.8768
13.72,13.49,307.779999,13.34,308.540009,3.49,308.279999,3.17,3.45,307.970001,3.31,14.08,2.4384
16.4,16.08,307.219971,15.48,309.469971,2.21,307.589966,2.5,2.29,307.289978,2.4,11.1,3.6576
13.76,13.619999,302.779999,13.54,305.399994,2.73,304.540009,2.82,2.77,303.630005,2.8,14.03,3.048
13.619999,13.54,302.069977,13.469999,304.540009,2.77,303.630005,2.84,2.8,302.779999,2.82,13.76,2.4384
12.63,12.45,303.290009,12.32,300.609985,2.74,302.639984,2.56,2.69,302.950012,2.63,12.92,2.4384
14.440001,14.12,300.879974,13.73,303.109985,2.32,303.309998,2.34,2.35,300.48999,2.35,14.66,1.8288
13.73,13.56,301.219971,13.44,300.48999,2.35,300.879974,2.28,2.34,301.119995,2.32,14.12,1.2192
12.29,12.110001,299.47998,12.02,301.089996,2.04,299.429993,1.85,2,299.509979,1.93,12.879999,0.6096
12.09,12.11,300.940002,12.139999,297.22998,1.38,297.919983,1.52,1.4,299.199982,1.44,12.06,1.8288
13.259999,13.08,316.51001,12.719999,316.269989,2.2,317.910004,2.36,2.29,318.830017,2.34,13.5,3.048
13.08,12.719999,317.51001,12.309999,317.910004,2.29,318.830017,2.34,2.34,316.51001,2.36,13.259999,1.2192
16.599998,16.190001,304.190002,15.869999,316.809998,2.13,304.410004,3.14,2.46,304.429993,2.82,9.99,4.2672
15.34,15.01,303.48999,14.860001,304.190002,3.14,304.579987,3.57,3.38,303.98999,3.52,15.869999,2.4384
14.35,14.029999,300.970001,13.59,301.649994,3.33,300.799988,2.92,3.2,301.839996,3.06,14.5,1.8288
12.179999,12.049999,299.349976,11.97,300.350006,2.46,299.789978,2.24,2.38,299.470001,2.31,12.42,1.2192
11.11,11.08,306.72998,11.05,304.559998,2.09,305.549988,2.01,2.07,306.360016,2.04,11.15,1.2192
11.96,11.97,352.080017,11.93,345.269989,2.03,348.669983,2.17,2.05,350.899994,2.11,11.879999,1.2192
11.26,12.029999,330.980011,12.91,336.679993,2.39,334.889984,2.86,2.53,332.519989,2.71,10.98,3.048
12.029999,12.91,326.939972,12.469999,334.889984,2.53,332.519989,2.9,2.71,330.980011,2.86,11.26,1.8288
9.74,9.39,313.160004,14.99,331.099976,2.42,341.580017,2.59,2.49,29.119999,2.55,9.87,3.048
14.99,14.52,311.609985,13.82,29.119999,2.55,313.160004,2.65,2.59,312.97998,2.62,9.39,1.2192
12.01,11.83,311.839996,11.34,309.420013,2.63,309.639984,2.47,2.61,309.730011,2.56,12.28,0.6096
10.04,9.94,352.839996,9.87,353.659973,2.24,351.129974,2.15,2.25,350.98999,2.22,10.219999,0.6096
9.219999,15.27,284.02002,15.21,66.419998,1.74,62.509998,2.11,1.78,235.949997,1.89,9.28,3.048
13.499999,13.37,305.619995,13.26,305.72998,2.89,306.469971,2.85,2.92,306.359985,2.89,13.690001,3.048
13.26,13.15,301.619995,13,306.359985,2.89,305.619995,2.77,2.85,304.140015,2.81,13.37,3.048
12.04,12.03,319.499969,11.96,315.549988,3.52,316.399994,3.56,3.59,317.380005,3.59,12,4.2672
11.96,11.82,321.98999,11.63,317.380005,3.59,319.499969,3.48,3.56,323.25,3.52,12.03,2.4384
11.95,11.88,349.629974,11.77,344.98999,3.13,346.579987,2.82,3.03,348.129974,2.93,11.99,1.2192
18.15,17.969999,298.73999,13.24,184.159988,2.45,183.559998,2.74,2.55,182.860001,2.66,18.459999,2.4384
17.969999,13.24,297.819977,13.110001,183.559998,2.55,182.860001,2.77,2.66,298.73999,2.74,18.15,2.4384
12.13,11.999999,186.550003,15.5,302.070007,2.61,301.119995,2.42,2.55,300.029968,2.49,12.25,1.2192
9.52,9.45,50.369999,9.4,183.5,2.21,50.34,2.21,2.21,50.509998,2.22,14.599999,1.8288
