@relation FullFiltersSimilarValuesStrategy

@attribute ww3Height numeric
@attribute ww3Period numeric
@attribute ww3Direction numeric
@attribute visualObservation numeric

@data
4.91,13.2,314.259979,10.9728
2.97,10.76,319.220001,6.096
4.24,12.889999,330,10.3632
4.83,15.309999,317.779999,12.192
3.28,15.62,309.679993,8.5344
2.91,9.91,66.759995,2.4384
2.54,9.25,59.450001,2.4384
2.58,8.97,65.540001,2.4384
3.15,11.889999,323,5.4864
3.24,13.25,331.200012,6.096
3.13,13.01,331.779968,3.6576
2.5,10.67,327.339996,3.6576
3.97,12.559999,358.170013,6.096
2.85,13.64,316.640015,6.096
2.84,13.37,316.059998,2.4384
2.17,11.289999,309.809998,1.2192
2.02,10.789999,303.360016,2.4384
3.37,12.959999,307.879974,6.096
3.07,12.15,309.959991,3.048
2.06,12.2,311.409973,1.8288
2.02,9.429999,328.319977,2.4384
2.64,9.02,342.589996,3.048
2.67,9.15,346.630005,2.4384
2.59,9.27,359.149994,2.4384
2.26,13.08,340.599976,4.8768
2.17,12.24,338.130005,3.048
2.92,13.799999,322.559998,5.4864
2.83,13.29,321.149994,4.2672
2.21,12.45,311.790009,2.4384
2.49,10.25,71.610001,3.048
2.47,11.75,297.859985,2.4384
3.4,12.15,319.720001,4.8768
3.03,11.93,338.179993,7.3152
2.68,11.66,334.529999,4.2672
2.29,10.93,325.72998,2.4384
1.67,9.68,328.329987,1.8288
1.82,11.78,307.410004,3.048
1.99,10.309999,313.059998,3.6576
1.89,9.849999,314.290009,3.048
1.62,9.29,317.609985,2.4384
2.07,10.52,292.820007,3.048
1.89,9.99,292.669983,1.8288
1.87,13.459999,334.429993,4.2672
2.14,12.09,329.619995,4.2672
1.76,10.27,320.47998,1.8288
1.57,9.21,321.629974,0.6096
1.84,7.29,77.089996,1.2192
2.11,8.65,63,1.2192
2.45,8.35,61.969997,1.2192
2.31,8.309999,65.199997,1.2192
2.33,8.34,65.599998,1.2192
1.99,7.03,76.549995,0.6096
1.85,7,66.57,1.2192
1.87,7.01,67.540001,1.2192
1.84,6.98,68.419998,0.6096
1.6,6.86,76.050003,0.6096
2.08,7.84,65.529999,0.6096
2.07,7.83,66.790001,1.2192
1.76,7.63,73.779999,1.8288
2.01,7.48,80.730003,0.6096
1.61,7.7,72.769997,1.2192
1.69,7.5,62.279999,0.6096
1.77,5.93,74.379997,1.2192
1.92,5.96,75.860001,1.8288
2.13,11.01,330.799988,3.048
2.09,10.33,335.199982,3.048
1.6,10.05,347.540009,1.8288
1.83,7.95,69.949997,0.6096
1.66,7.77,62.379997,1.2192
2.03,14.559999,313.48999,3.6576
2.08,14.26,313.48999,3.6576
2.49,12.299999,319.619995,5.4864
3.56,12.14,329.889984,6.096
3.37,11.93,330.679993,4.8768
2.87,15.09,318.570007,9.144
3.06,13.56,319.859985,4.2672
2.27,11.17,319.98999,2.4384
2.07,9.79,321.589996,2.4384
2.54,13.219999,323.910004,3.048
2.58,12.61,327.25,3.048
4.14,14.279999,338.98999,12.192
2.31,11.44,343.309998,3.048
1.45,9.65,327.439972,2.4384
2.32,12.54,306.700012,4.8768
2.33,12.5,306.789978,3.6576
2.02,11.51,309.099976,3.048
2.15,12.190001,314.839996,3.6576
2.22,14.440001,327.959991,3.6576
2.13,12.35,316.559998,3.048
2.05,11.860001,316.659973,2.4384
2.57,10.93,314.799988,3.6576
2.42,10.219999,320.779999,3.048
2.12,9.75,322.100006,3.048
3.21,15.259999,327.889984,8.5344
3.36,13.4,323.75,7.3152
3.25,13.299999,323.390015,4.8768
3.64,14.04,318.929993,5.4864
5.46,16.16,319.369995,16.4592
4.95,15.13,319.139984,9.7536
3.67,13.289999,317.209991,4.8768
3.26,14.3,309.119995,6.096
3.21,12.08,318.920013,6.096
3.19,14.690001,312.690002,10.3632
3.71,14.3,312.25,8.5344
4,13.440001,317.690002,4.8768
3.23,12.2,318.499969,3.048
3.27,14.33,319.190002,4.8768
3.77,14.669999,317.839996,7.3152
2.91,12.15,316.660004,6.096
2.88,12.11,317.059967,3.048
2.57,11.209999,316.700012,2.4384
3.42,15.339999,316.009979,8.5344
3.67,14.67,315.640015,6.096
3.18,13.33,316.599976,3.6576
