@relation FullFiltersAllSimilarValuesStrategy

@attribute ww3Height numeric
@attribute ww3Period numeric
@attribute ww3Direction numeric
@attribute visualObservation numeric

@data
2.91,9.91,66.759995,2.4384
3.13,13.01,331.779968,3.6576
3.38,11.719999,1.35,3.6576
2.84,13.37,316.059998,2.4384
2.02,10.789999,303.360016,2.4384
3.07,12.15,309.959991,3.048
2.02,9.429999,328.319977,2.4384
2.64,9.02,342.589996,3.048
2.67,9.15,346.630005,2.4384
2.61,9.309999,1.37,2.4384
2.21,12.45,311.790009,2.4384
2.47,11.75,297.859985,2.4384
2.29,10.93,325.72998,2.4384
1.67,9.68,328.329987,1.8288
1.89,9.99,292.669983,1.8288
1.76,10.27,320.47998,1.8288
1.84,7.29,77.089996,1.2192
1.85,7,66.57,1.2192
1.87,7.01,67.540001,1.2192
1.76,7.63,73.779999,1.8288
1.61,7.7,72.769997,1.2192
1.6,10.05,347.540009,1.8288
1.66,7.77,62.379997,1.2192
2.27,11.17,319.98999,2.4384
2.07,9.79,321.589996,2.4384
2.54,13.219999,323.910004,3.048
2.58,12.61,327.25,3.048
2.05,11.860001,316.659973,2.4384
2.42,10.219999,320.779999,3.048
3.23,12.2,318.499969,3.048
2.88,12.11,317.059967,3.048
2.57,11.209999,316.700012,2.4384
3.18,13.33,316.599976,3.6576
2.46,11.09,320.859985,1.8288
3.79,12.780001,301.929993,3.6576
3.09,11.36,324.269989,3.6576
2.2,13.309999,299.949982,2.4384
1.77,11.98,298.399994,1.8288
2.28,11.99,317.26001,2.4384
2.84,13.4,299.47998,3.048
2.73,13.5,310.48999,2.4384
2.69,11.249999,351.480011,3.048
2.7,13.19,316.649994,2.4384
1.97,13.450001,302.970001,2.4384
1.96,13.28,303.540009,2.4384
1.62,11.48,304.089996,1.2192
1.44,10.08,307.429993,1.2192
1.6,9.85,321.040009,1.8288
2.12,11.16,319.309998,2.4384
2.08,10.98,318.22998,1.8288
1.61,10.9,296.169983,1.8288
1.32,8.94,349.519989,1.8288
1.57,9.86,336.679993,1.8288
1.3,5.63,75.809998,0.6096
2.9,11.53,38.109997,2.4384
3.36,11.03,6.72,3.048
